,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
10447,nysd,1-16-cv-04863-LGS,b'aa65622271084a7db1a8883a',08/17/2016,-1,17
10448,nysd,1-16-cv-05433-VM,b'af1313981a0ad5903f925278',07/12/2016,1,11
10449,nysd,1-16-cv-02920-RJS,b'bd9de3ca949c32d4c741463b',04/28/2016,1,23
10450,nysd,1-16-cv-06713-PAE-JLC,b'6012eacdf5c4a047cb86814b',08/25/2016,0,20
10451,nysd,1-16-cv-05360-LTS,b'af6cff252917286ba0859520',07/13/2016,-1,19
10452,nysd,7-16-cv-06666-NSR-PED,b'9120b54ba8315783fe2820b9',09/01/2016,1,32
10453,nysd,1-16-cv-05749-CM,b'd18ce1952c7e3f3df1b183b3',09/07/2016,1,495
10454,nysd,1-16-cv-00167-LAP,b'0cd78a3eb05b0d5393c72df7',01/19/2016,-1,255
10455,nysd,1-16-cv-08691-CM,b'd18ce1952c7e3f3df1b183b3',11/10/2016,-1,495
10456,nysd,1-16-cv-10008-CM,b'd18ce1952c7e3f3df1b183b3',01/06/2017,-1,495
10457,nysd,1-16-cv-05027-LAP-KNF,b'0cd78a3eb05b0d5393c72df7',06/29/2016,1,255
10458,nysd,1-16-cv-03992-CM,b'd18ce1952c7e3f3df1b183b3',05/31/2016,1,495
10459,nysd,1-16-cv-05794-RA-KNF,b'0fee7480a657fa683e4093d2',07/20/2016,0,17
10460,nysd,1-16-cv-04815-CM,b'd18ce1952c7e3f3df1b183b3',09/30/2016,1,495
10461,nysd,7-16-cv-02798-VB,b'701c0fd2ffc81b0754e3fc24',08/23/2016,1,30
10462,nysd,1-16-cv-09779-CM,b'd18ce1952c7e3f3df1b183b3',01/12/2017,-1,495
10463,nysd,1-16-cv-02662-ALC,b'7a8ccc9270c4827243564fe0',04/11/2016,1,7
10464,nysd,1-16-cv-03804-AKH,b'3548b53e86a3dcf363906a99',05/21/2016,0,6
10465,nysd,1-16-cv-06580-CM,b'd18ce1952c7e3f3df1b183b3',10/21/2016,1,495
10466,nysd,1-16-cv-09673-CM,b'd18ce1952c7e3f3df1b183b3',12/16/2016,-1,495
10467,nysd,1-16-cv-05782-CM,b'd18ce1952c7e3f3df1b183b3',07/21/2016,-1,495
10468,nysd,1-16-cv-00305-LGS,b'aa65622271084a7db1a8883a',01/19/2016,1,17
10469,nysd,7-16-cv-03085-CS-LMS,b'554e9c6eb0d683c82cd6bf4b',05/04/2016,1,18
10470,nysd,1-16-cv-00786-LAP,b'0cd78a3eb05b0d5393c72df7',02/04/2016,-1,255
10471,nysd,1-16-cv-00970-LAP,b'0cd78a3eb05b0d5393c72df7',02/10/2016,1,255
10472,nysd,1-16-cv-09238-CM,b'd18ce1952c7e3f3df1b183b3',12/01/2016,1,495
10473,nysd,1-16-cv-05249-VM,b'af1313981a0ad5903f925278',07/07/2016,-1,11
10474,nysd,1-16-cv-03695-CM,b'd18ce1952c7e3f3df1b183b3',12/21/2016,1,495
10475,nysd,1-16-cv-09350-CM,b'd18ce1952c7e3f3df1b183b3',12/06/2016,-1,495
10476,nysd,1-16-cv-04225-KBF,b'073438482a9d04e4b124ec20',06/28/2016,-1,19
10477,nysd,1-16-cv-00715-LAP,b'0cd78a3eb05b0d5393c72df7',02/03/2016,-1,255
10478,nysd,7-16-cv-06517-VB,b'701c0fd2ffc81b0754e3fc24',09/19/2016,1,30
10479,nysd,1-16-cv-01609-CM,b'd18ce1952c7e3f3df1b183b3',03/14/2016,1,495
10480,nysd,1-16-cv-06983-CM,b'd18ce1952c7e3f3df1b183b3',10/28/2016,1,495
10481,nysd,1-16-cv-05222-SHS,b'cfc699208b0a269c79c28308',08/03/2016,0,5
10482,nysd,1-16-cv-05649-AT-KNF,b'0ec4498c9ed2b36bf5ce5e14',07/15/2016,0,8
10483,nysd,7-16-cv-07218-CS,b'554e9c6eb0d683c82cd6bf4b',09/29/2016,-999,18
10484,nysd,1-16-cv-03407-AKH,b'3548b53e86a3dcf363906a99',07/07/2016,1,6
10485,nysd,1-16-cv-09843-LGS,b'aa65622271084a7db1a8883a',12/22/2016,1,17
10486,nysd,1-16-cv-05181-NRB,b'1170402287d09f3e0f573d7b',07/14/2016,-1,2
10487,nysd,1-16-cv-01340-LAP,b'0cd78a3eb05b0d5393c72df7',03/10/2016,1,255
10488,nysd,1-16-cv-00188-LAP,b'0cd78a3eb05b0d5393c72df7',05/04/2016,-1,255
10489,nysd,1-16-cv-03329-CM,b'd18ce1952c7e3f3df1b183b3',08/30/2016,-1,495
