,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
17121,ared,4-16-cv-00244-BRW,b'20c943dd1aac3910a79ac5cd',05/16/2016,-999,29
17122,ared,4-16-cv-00016-KGB,b'5e6fc352376bd51546efc667',04/25/2016,-1,26
17123,ared,4-16-cv-00848-KGB,b'5e6fc352376bd51546efc667',06/19/2017,-999,26
17124,ared,3-16-cv-00123-BRW,b'20c943dd1aac3910a79ac5cd',05/11/2016,-1,29
17125,ared,4-16-cv-00776-JLH,b'43c03b31e6f7b2d5d40033a8',11/01/2016,1,36
17126,ared,4-16-cv-00849-JJV,b'0e1a7a1e44433445f536fff0',11/21/2016,1,54
17127,ared,4-16-cv-00378-BRW,b'20c943dd1aac3910a79ac5cd',06/28/2016,-1,29
17128,ared,4-16-cv-00779-SWW,b'8123df5633223d0e3238a609',10/24/2016,0,19
17129,ared,5-16-cv-00285-JJV,b'0e1a7a1e44433445f536fff0',09/15/2016,0,54
17130,ared,1-16-cv-00046-JTR,b'a6bc07fcc497c5e72a162912',05/20/2016,1,46
17131,ared,2-16-cv-00130-BSM,b'41743e2a6865ed065170fb10',09/23/2016,0,43
17132,ared,5-16-cv-00330-JM,b'b09e8410dd85b252a00ab05e',01/04/2017,-1,45
17133,ared,4-16-cv-00536-BSM,b'41743e2a6865ed065170fb10',08/03/2016,1,43
17134,ared,4-16-cv-00537-BSM,b'41743e2a6865ed065170fb10',08/17/2016,1,43
17135,ared,3-16-cv-00296-JJV,b'0e1a7a1e44433445f536fff0',10/20/2016,1,54
17136,ared,4-16-cv-00651-JJV,b'0e1a7a1e44433445f536fff0',09/13/2016,1,54
17137,ared,2-16-cv-00139-KGB,b'5e6fc352376bd51546efc667',10/25/2017,1,26
17138,ared,4-16-cv-00612-BRW,b'20c943dd1aac3910a79ac5cd',09/23/2016,-999,29
17139,ared,4-16-cv-00674-JLH,b'43c03b31e6f7b2d5d40033a8',09/21/2016,-1,36
17140,ared,3-16-cv-00343-JM,b'b09e8410dd85b252a00ab05e',12/13/2016,-1,45
17141,ared,4-16-cv-00626-JJV,b'0e1a7a1e44433445f536fff0',06/16/2017,-10,54
17142,ared,4-16-cv-00526-JTK,b'0150d65753172cf27fdb0148',07/21/2016,1,46
17143,ared,3-16-cv-00154-JJV,b'0e1a7a1e44433445f536fff0',06/17/2016,1,54
17144,ared,4-16-cv-00493-BSM,b'41743e2a6865ed065170fb10',07/14/2016,1,43
17145,flsd,0-16-cv-61797-AOV,b'79d0cd320b5c58b4cb770feb',08/12/2016,1,10
17146,flsd,0-16-cv-61588-BB,b'4fbaba9741cb0e958a71fff9',07/07/2016,-1,60
17147,flsd,1-16-cv-22370-JAL,b'9c1527f9e745b997e32d9117',07/01/2016,1,34
17148,flsd,0-16-cv-62166-RNS,b'0867e6ee44264fa71135214d',09/16/2016,1,35
17149,flsd,1-16-cv-21782-JLK,b'b739d072b8dfcdd61a8ab559',03/16/2016,1,23
17150,flsd,1-16-cv-24786-CMA,b'9d73a22ba372133895768dcd',11/21/2016,1,49
17151,flsd,0-16-cv-61385-WPD,b'92cbd5113398df69fdd3ce6d',08/15/2016,1,62
17152,flsd,1-16-cv-25181-CMA,b'9d73a22ba372133895768dcd',12/19/2016,-1,49
17153,flsd,9-16-cv-81257-DMM,b'259552f9decc00b672b3b679',07/18/2016,1,46
17154,flsd,9-16-cv-81802-WPD,b'92cbd5113398df69fdd3ce6d',11/22/2016,1,62
17155,flsd,2-16-cv-14571-KAM,b'75e5d7ca75ba8143252ec5e0',01/10/2017,1,47
17156,flsd,1-16-cv-24316-JAL,b'9c1527f9e745b997e32d9117',11/14/2016,1,34
17157,flsd,1-16-cv-25268-KMW,b'c7259a2986bfc07fab814bbd',03/02/2017,1,49
17158,flsd,0-16-cv-61966-WPD,b'92cbd5113398df69fdd3ce6d',08/19/2016,1,62
17159,flsd,0-16-cv-62639-WPD,b'92cbd5113398df69fdd3ce6d',11/21/2016,1,62
17160,flsd,1-16-cv-24748-KMW,b'c7259a2986bfc07fab814bbd',03/27/2017,-1,49
17161,flsd,0-16-cv-61306-BB,b'4fbaba9741cb0e958a71fff9',07/05/2016,1,60
17162,flsd,1-16-cr-20432-UU,b'3f9008f4d37d34987035a5c8',02/07/2017,1,40
17163,flsd,0-16-cv-60076-RLR,b'3fd9af44fa8d3843eee56b5c',03/02/2017,-1,89
17164,flsd,9-16-cv-80776-DMM,b'259552f9decc00b672b3b679',05/19/2016,1,46
17165,flsd,1-16-cv-20231-JLK,b'b739d072b8dfcdd61a8ab559',02/25/2016,1,23
17166,flsd,2-16-cv-14149-KMM,b'cab16b5f7b2d41dd8121d2a9',08/10/2016,-10,31
17167,flsd,1-16-cv-22117-MGC,b'ec6eca6373f7612635ba26f0',12/12/2016,1,61
17168,flsd,1-16-cv-20144-DPG,b'bbac25ed9ecfbcaa096d29a7',01/14/2016,-1,22
17169,flsd,1-16-cv-24640-KMW,b'c7259a2986bfc07fab814bbd',11/18/2016,1,49
17170,flsd,1-16-cv-21757-JAL,b'9c1527f9e745b997e32d9117',05/19/2016,1,34
17171,flsd,0-16-cv-62690-BB,b'4fbaba9741cb0e958a71fff9',11/21/2016,-1,60
17172,flsd,1-16-cv-23022-MGC,b'ec6eca6373f7612635ba26f0',07/14/2016,1,61
17173,flsd,0-16-cv-61702-WPD,b'92cbd5113398df69fdd3ce6d',09/03/2016,-1,62
17174,flsd,1-16-cv-23635-RNS,b'0867e6ee44264fa71135214d',09/19/2016,1,35
17175,flsd,2-16-cv-14088-KAM,b'75e5d7ca75ba8143252ec5e0',03/23/2016,-1,47
17176,flsd,1-16-cr-20224-JAL,b'9c1527f9e745b997e32d9117',07/13/2017,-1,34
17177,flsd,9-16-cv-81154-KAM,b'75e5d7ca75ba8143252ec5e0',12/04/2017,-10,47
17178,flsd,1-16-cv-21469-UU,b'3f9008f4d37d34987035a5c8',04/25/2016,1,40
17179,flsd,0-16-cv-60167-FAM,b'327f467cfbe0e24dd2df6973',02/22/2016,1,42
